"code","country","province","city","lat","lon","flag","tag_id","year","month","count"
"CN","中国","江苏","南通","32.2028","121.0983","🇨🇳","110","2011","10","8"
"CN","中国","四川","成都","30.6654","103.8454","🇨🇳","376","2014","10","174"
"CN","中国","广西","玉林","22.4433","110.1832","🇨🇳","297","2014","10","48"
"CN","中国","上海","上海","31.1966","121.6019","🇨🇳","104","2014","10","3471"
"CN","中国","浙江","嘉兴","30.6164","120.8541","🇨🇳","121","2014","11","63"
"CN","中国","浙江","杭州","29.9081","119.5001","🇨🇳","118","2014","11","172"
"CN","中国","福建","福州","25.9808","119.313","🇨🇳","146","2014","11","30"
"CN","中国","福建","宁德","26.929","119.6431","🇨🇳","154","2014","11","8"
"CN","中国","江苏","苏州","31.3808","120.6521","🇨🇳","109","2014","12","64"
"CN","中国","江苏","常州","31.6272","119.6376","🇨🇳","108","2014","6","35"
"NL","荷兰",,"乌得勒支","52.0913","5.079","🇳🇱","3961","2014","7","12"
"NL","荷兰",,"鹿特丹","51.9239","4.3372","🇳🇱","3853","2014","7","3"
"DK","丹麦",,"哥本哈根","55.6754","12.5511","🇩🇰","3217","2014","7","3"
"DK","丹麦",,"赫尔辛格","56.0383","12.498","🇩🇰","3182","2014","7","2"
"CN","中国","广西","贺州","24.3591","111.3601","🇨🇳","299","2014","8","2"
"CN","中国","台湾","台南","23.1506","120.2663","🇨🇳","435","2014","8","2"
"CN","中国","台湾","屏东","22.4006","120.6856","🇨🇳","438","2014","8","2"
"CN","中国","台湾","台东","22.8195","121.1001","🇨🇳","448","2014","8","6"
"CN","中国","北京","北京","40.1849","116.4107","🇨🇳","232","2014","8","25"
"CN","中国","海南","三亚","18.3637","109.4175","🇨🇳","304","2015","12","61"
"CN","中国","海南","乐东","18.6388","109.0281","🇨🇳","318","2015","12","28"
"CN","中国","安徽","马鞍山","31.5325","118.6136","🇨🇳","134","2015","12","18"
"JP","日本",,"京都","35.1058","135.7298","🇯🇵","455","2015","2","9"
"CN","中国","浙江","湖州","30.7462","119.871","🇨🇳","122","2015","2","43"
"CN","中国","云南","昆明","25.3871","102.8751","🇨🇳","406","2015","2","113"
"CN","中国","广西","南宁","23.0587","108.4634","🇨🇳","289","2015","3","15"
"CN","中国","广西","贵港","23.3101","109.9988","🇨🇳","296","2015","3","1"
"CN","中国","广西","梧州","23.4812","110.9918","🇨🇳","292","2015","3","7"
"CN","中国","安徽","芜湖","31.0669","118.3267","🇨🇳","131","2015","4","1"
"CN","中国","江苏","南京","31.9302","118.842","🇨🇳","105","2015","4","259"
"CN","中国","安徽","黄山市","29.9061","118.0764","🇨🇳","138","2015","4","343"
"CN","中国","安徽","宣城","30.6911","118.8566","🇨🇳","145","2015","4","4"
"CN","中国","广西","北海","21.3808","109.2949","🇨🇳","293","2015","5","332"
"DE","德国",,"柏林","52.5015","13.4019","🇩🇪","4266","2015","7","5"
"DE","德国",,"慕尼黑","48.0745","11.6314","🇩🇪","4319","2015","7","16"
"DE","德国",,"弗莱堡","47.9925","7.8181","🇩🇪","4316","2015","7","7"
"DE","德国",,"海德堡","49.4055","8.6942","🇩🇪","4332","2015","7","9"
"DE","德国",,"法兰克福","50.118","8.6442","🇩🇪","4426","2015","7","4"
"CN","中国","广西","桂林","25.3534","110.5121","🇨🇳","291","2015","9","1"
"CN","中国","河北","张家口","40.865","115.0301","🇨🇳","240","2016","2","32"
"CN","中国","江西","上饶","28.7746","117.4692","🇨🇳","165","2016","3","17"
"CN","中国","湖北","武汉","30.6262","114.3385","🇨🇳","201","2016","3","25"
"CN","中国","云南","丽江","26.9422","100.5249","🇨🇳","411","2016","3","1"
"CN","中国","云南","曲靖","25.7041","103.9376","🇨🇳","407","2016","3","1"
"BR","西班牙",,"巴塞罗那","-5.9608","-35.9216","🇪🇸","3571","2016","4","12"
"CN","中国","江苏","无锡","31.5267","120.076","🇨🇳","106","2016","4","180"
"CN","中国","湖北","恩施","30.1916","109.5488","🇨🇳","213","2016","6","23"
"CN","中国","四川","雅安","29.9162","102.663","🇨🇳","391","2017","10","8"
"CN","中国","山西","忻州","38.8825","112.4083","🇨🇳","253","2017","10","203"
"CN","中国","四川","眉山","29.8978","103.78","🇨🇳","387","2017","10","2"
"CN","中国","浙江","绍兴","29.713","120.6281","🇨🇳","123","2017","10","176"
"CN","中国","山东","青岛","36.3645","120.2043","🇨🇳","167","2017","10","5"
"CN","中国","山西","朔州","39.6176","112.6437","🇨🇳","250","2017","10","61"
"CN","中国","山西","大同","39.9029","113.7173","🇨🇳","246","2017","10","327"
"CN","中国","山西","太原","37.9595","112.3141","🇨🇳","245","2017","10","123"
"CN","中国","江西","宜春","28.3077","114.9731","🇨🇳","163","2017","2","16"
"CN","中国","江西","吉安","26.9733","114.8235","🇨🇳","162","2017","2","35"
"CN","中国","福建","泉州","25.1492","118.3297","🇨🇳","150","2017","3","1"
"CN","中国","福建","厦门","24.643","118.1325","🇨🇳","147","2017","3","20"
"ID","印度尼西亚",,"巴厘岛","-8.3696","115.1317","🇮🇩","2948","2017","7","11"
"MX","美国",,"蒙特雷","25.683","-100.3142","🇺🇸","5161","2018","10","790"
"CN","中国","香港","香港","22.336","114.1876","🇨🇳","429","2018","11","74"
"CN","中国","贵州","安顺","25.9962","105.9514","🇨🇳","400","2018","11","137"
"CN","中国","贵州","毕节","27.0682","105.2144","🇨🇳","401","2018","11","3"
"CN","中国","贵州","贵阳","26.8434","106.7078","🇨🇳","397","2018","11","3"
"CN","中国","浙江","丽水","28.1982","119.5102","🇨🇳","128","2018","11","139"
"EG","埃及",,"卢克索","25.6815","32.6152","🇪🇬","4812","2018","4","1"
"CN","中国","广东","东莞","22.9238","113.8688","🇨🇳","284","2018","5","1"
"CN","中国","云南","西双版纳","21.935","100.9433","🇨🇳","417","2018","6","162"
"CN","中国","云南","普洱","23.1881","100.7219","🇨🇳","412","2018","6","13"
"CN","中国","陕西","渭南","34.9529","109.858","🇨🇳","326","2018","8","93"
"CN","中国","河南","三门峡","34.3629","111.1067","🇨🇳","194","2018","8","1"
"CN","中国","河南","郑州","34.6261","113.4719","🇨🇳","183","2018","8","1"
"CN","中国","湖南","长沙","28.2284","113.1525","🇨🇳","218","2018","8","4"
"CN","中国","湖南","湘潭","27.7337","112.6023","🇨🇳","220","2018","8","1"
"CN","中国","四川","德阳","31.1341","104.4294","🇨🇳","380","2018","8","26"
"TH","泰国",,"北榄","13.5965","100.7109","🇹🇭","2520","2018","9","3"
"MP","北马里亚纳群岛",,"塞班岛","15.1892","145.7539","🇲🇵","5390","2019","1","111"
